,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
180,Mattawa,US,46.7379,-119.9028,42.8,65,1,8.05,clear sky
181,Manaure,CO,11.7751,-72.4445,78.89,72,3,12.03,clear sky
182,Bathsheba,BB,13.2167,-59.5167,78.8,65,40,20.71,scattered clouds
183,Whitehorse,CA,60.7161,-135.0538,-13.0,70,20,2.3,few clouds
184,Codrington,AU,-38.2667,141.9667,64.71,60,76,12.08,broken clouds
185,Grand Gaube,MU,-20.0064,57.6608,77.0,80,0,3.0,clear sky
186,Hamilton,US,39.1834,-84.5333,28.99,74,40,13.8,scattered clouds
187,Georgetown,MY,5.4112,100.3354,80.6,83,20,3.44,few clouds
188,Kavieng,PG,-2.5744,150.7967,83.88,73,15,10.8,light rain
189,Pathalgaon,IN,22.5667,83.4667,57.06,36,0,1.48,clear sky
190,Boralday,KZ,43.3578,76.8594,26.6,93,90,4.47,fog
191,Carnarvon,AU,-24.8667,113.6333,75.2,100,90,20.71,overcast clouds
192,Zambezi,ZM,-13.5432,23.1047,64.42,97,100,8.86,moderate rain
193,Babai,IN,22.7,77.9333,55.49,38,0,3.13,clear sky
194,Vao,NC,-22.6667,167.4833,78.46,74,20,41.58,few clouds
195,Fuxin,CN,42.0156,121.6589,10.54,77,100,5.88,overcast clouds
196,Bambous Virieux,MU,-20.3428,57.7575,78.8,83,20,1.14,few clouds
197,Vicuna,CL,-30.0319,-70.7081,64.0,49,0,1.88,clear sky
198,Atar,MR,20.5169,-13.0499,68.5,21,2,5.99,clear sky
199,Oga,IT,46.4631,10.347,44.01,86,75,2.3,broken clouds
200,Santa Lucia,ES,27.9117,-15.5407,63.0,77,20,9.22,few clouds
201,Buala,SB,-8.145,159.5921,78.33,91,100,15.32,very heavy rain
202,Sisimiut,GL,66.9395,-53.6735,-5.55,81,0,12.21,clear sky
203,Rawson,AR,-43.3002,-65.1023,74.8,30,0,7.58,clear sky
204,Moskovskiy,RU,55.5991,37.355,14.0,85,0,4.47,clear sky
205,Ribeira Grande,PT,38.5167,-28.7,56.98,66,61,35.23,broken clouds
206,Hambantota,LK,6.1241,81.1185,77.0,100,90,13.8,overcast clouds
207,Biak,ID,-0.9131,122.8766,78.21,82,100,4.14,overcast clouds
208,Lagoa,PT,39.05,-27.9833,55.8,68,99,35.46,overcast clouds
209,Formosa,AR,-26.1775,-58.1781,78.8,89,90,6.91,overcast clouds
210,Dikson,RU,73.5069,80.5464,-24.11,85,3,14.14,clear sky
211,Gurupi,BR,-11.7292,-49.0686,76.53,77,75,3.47,broken clouds
212,Redwater,US,33.3582,-94.2544,48.2,49,1,5.75,clear sky
213,Haines Junction,CA,60.7522,-137.5108,-9.4,64,87,1.14,overcast clouds
214,Albany,US,42.6001,-73.9662,27.0,87,100,1.01,light snow
215,Paragominas,BR,-2.9667,-47.4833,74.17,90,100,3.02,overcast clouds
216,Goderich,CA,43.7501,-81.7165,26.6,68,99,10.36,overcast clouds
217,Makokou,GA,0.5738,12.8642,70.7,93,100,2.55,overcast clouds
218,Batemans Bay,AU,-35.7167,150.1833,71.01,58,90,4.0,overcast clouds
219,Cabo San Lucas,MX,22.8909,-109.9124,71.6,64,40,14.97,scattered clouds
220,Alofi,NU,-19.0595,-169.9187,86.0,74,75,11.5,moderate rain
221,Bhavnagar,IN,21.7667,72.15,67.95,30,0,9.75,clear sky
222,Birin,NP,26.8865,88.0718,49.33,65,0,2.59,clear sky
223,Sobolevo,RU,54.4299,31.8996,15.64,96,100,11.48,light snow
224,Saint-Augustin,CA,51.226,-58.6502,21.07,94,100,17.58,overcast clouds
225,Avera,US,33.194,-82.5271,41.0,45,1,13.8,clear sky
226,Pecos,US,31.4229,-103.4932,68.0,26,1,4.61,clear sky
227,Port Hedland,AU,-20.3167,118.5667,87.8,66,40,16.11,scattered clouds
228,Asau,RO,46.4333,26.4,33.01,71,44,5.12,scattered clouds
229,Tome,CL,-36.6167,-72.95,57.2,94,90,11.5,mist
230,South Venice,US,27.0531,-82.4243,57.2,58,75,18.41,haze
231,Saryg-Sep,RU,51.5,95.6,-5.75,87,67,2.77,broken clouds
232,Tiruchchendur,IN,8.4833,78.1167,76.46,80,97,17.02,overcast clouds
233,Neuquen,AR,-38.9516,-68.0591,75.2,50,0,8.86,clear sky
234,Esperance,AU,-33.8667,121.9,75.2,53,0,14.97,clear sky
235,Northam,GB,51.0333,-4.2167,48.0,94,89,8.01,overcast clouds
236,Narsaq,GL,60.9167,-46.05,21.2,53,75,5.75,broken clouds
237,Angoche,MZ,-16.2325,39.9086,76.62,88,90,5.14,overcast clouds
238,Yar-Sale,RU,66.8333,70.8333,1.31,94,89,4.21,overcast clouds
239,Abu Zabad,SD,12.35,29.25,74.12,21,0,10.18,clear sky
240,Shache,CN,38.4167,77.2406,26.06,80,100,1.41,overcast clouds
241,San Jose,US,37.3394,-121.895,57.99,62,20,12.66,few clouds
242,Shemonaikha,KZ,50.6328,81.9056,22.21,96,100,12.93,overcast clouds
243,Cumpas,MX,29.9833,-109.7833,66.74,36,96,3.36,overcast clouds
244,Nantucket,US,41.2835,-70.0995,36.0,100,90,18.41,mist
245,Severo-Yeniseyskiy,RU,60.3725,93.0408,-14.28,90,96,3.71,overcast clouds
246,Coron,PH,11.9986,120.2043,83.62,64,7,6.87,clear sky
247,Camapua,BR,-19.5314,-54.0439,77.04,71,100,4.25,overcast clouds
